問題,答え
中央アジアでは，埋蔵量が少ない，あるいは金属として取り出すのが困難であるため，世界的に産出量が少ない（　　　）などの鉱産資源が豊富である。　,レアメタル
熱帯の地域の河口や入り江の周辺には〔マングローブ　針葉樹〕が広がっている。,マングローブ
砂漠の中でも水が得られ，樹木が育つ場所を何というか。,オアシス
アマゾン川流域では，〔道路　川〕が都市と都市を結ぶ重要な交通路になっている。,川
日本の標準時子午線は，何度の経線か。,東経135度
冬は寒さが厳しいが，針葉樹などの樹木が育つ気候帯を何というか。,冷帯（亜寒帯）
人口を面積で割った値を，（　　　）という。,人口密度
サハラ砂漠より南で信仰されている宗教は，伝統的な宗教のほかに，何があるか。,キリスト教
アフリカの南端と北端に見られ，小麦やぶどうが栽培される気候帯は何か。,温帯
アフリカの国々の首都などの都市では，農村から移り住んだ人々の住居が集中する，〔スラブ　スラム〕とよばれる生活環境の悪い地域が広がっている。,スラム
南アメリカの国々にとって，植物原料からつくるアルコール燃料である（　　　）は，重要な輸出品となっている。,バイオエタノール
アフリカの赤道付近に広がる，常緑広葉樹の森林を何というか。,熱帯雨林
距離が近いアジア諸国との関係を重視したオーストラリアが主導し，1989年に結成された地域組織を何というか。,ＡＰＥＣ（アジア太平洋経済協力）
アフリカではＥＵを手本とした地域統合を進めるため，2002年に (           ) が結成され，アフリカの多くの国々が加盟している。,ＡＵ
かつてスペインの植民地となったことから，フィリピンで広まった宗教は何か。,キリスト教
マレーシアやインドネシアなどで，植民地時代に天然ゴムやコーヒーなどの商品作物を栽培するために開かれた大農園を何というか。,プランテーション
ＥＵ（ヨーロッパ連合）の多くの加盟国間では，（　　　）の検査なしに国境を通過できるため，国境をこえた通勤・買い物がさかんである。,パスポート
ペルーの高地では，日干しれんがや（　　　）を材料として住居をつくっている。,石
東南アジアや東アジアで信者の多い仏教は，〔経　コーラン〕を教典としている。,経
人口が最も多い州は（　　　）である。,アジア州
